table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_15,feature_7,848,19,0,29,0.4018777520789013,,0.4035787948583135,plurel,plurel-123/db,0.4018777520789013,,0.4035787948583135,,0.0017010427794121874
table_0,feature_11,822,15,0,121,-0.2382824251163919,,0.9190366777721644,plurel,plurel-124/db,-0.2382824251163919,,0.9190366777721644,,1.1573191028885563
table_0,feature_0,822,15,0,121,-0.2483064319727694,,-0.1235812487083973,plurel,plurel-124/db,-0.2483064319727694,,-0.1235812487083973,,0.12472518326437208
table_12,feature_22,792,16,33,0,0.8960753949846918,0.8929393981166133,,plurel,plurel-124/db,0.8960753949846918,0.8929393981166133,,-0.0031359968680785277,
table_0,feature_2,570,4,0,54,-0.188052921767351,,0.7647986884881943,plurel,plurel-125/db,-0.188052921767351,,0.7647986884881943,,0.9528516102555453
table_1,feature_0,3730,6,22,0,0.90720002692979,0.9660499823813592,,plurel,plurel-125/db,0.90720002692979,0.9660499823813592,,0.058849955451569236,
table_2,feature_10,640,13,6,26,0.5508142680379188,0.539032848734613,0.9812309979570912,plurel,plurel-125/db,0.5508142680379188,0.539032848734613,0.9812309979570912,-0.011781419303305785,0.43041672991917246
table_0,feature_1,2168,7,21,0,-0.1918287626872328,-0.1823587809036544,,plurel,plurel-126/db,-0.1918287626872328,-0.1823587809036544,,0.009469981783578413,
table_5,feature_14,544,14,0,52,0.921968168004242,,0.9266582779578448,plurel,plurel-126/db,0.921968168004242,,0.9266582779578448,,0.004690109953602861
table_5,feature_0,544,14,0,52,0.5393772509703509,,0.784313536204257,plurel,plurel-126/db,0.5393772509703509,,0.784313536204257,,0.2449362852339061
table_7,feature_0,534,6,0,31,0.4166881444426762,,0.2648448156816833,plurel,plurel-127/db,0.4166881444426762,,0.2648448156816833,,-0.15184332876099293
table_9,feature_11,796,14,9,0,0.6520808508116376,0.7777124822406497,,plurel,plurel-129/db,0.6520808508116376,0.7777124822406497,,0.12563163142901212,
table_6,feature_10,718,4,6,26,0.9700172670663406,0.962288146461546,0.9620376656857051,plurel,plurel-129/db,0.9700172670663406,0.962288146461546,0.9620376656857051,-0.0077291206047945815,-0.00797960138063547
table_1,feature_2,516,7,0,63,0.9770755947002548,,0.9759461794936012,plurel,plurel-129/db,0.9770755947002548,,0.9759461794936012,,-0.0011294152066536611
table_7,feature_3,915,18,25,13,0.2215028949167776,0.213863602729977,0.237912989327377,plurel,plurel-13/db,0.2215028949167776,0.213863602729977,0.237912989327377,-0.007639292186800595,0.016410094410599402
table_18,feature_3,3684,4,8,0,-0.1251484403927552,-0.1545085485616191,,plurel,plurel-13/db,-0.1251484403927552,-0.1545085485616191,,-0.02936010816886392,
table_17,feature_3,608,5,18,13,-0.3142653405335764,-0.1762886210607128,-0.4014806603053285,plurel,plurel-13/db,-0.3142653405335764,-0.1762886210607128,-0.4014806603053285,0.1379767194728636,-0.08721531977175206
table_2,feature_5,3685,5,26,0,0.9328117483550736,0.9990796538300204,,plurel,plurel-130/db,0.9328117483550736,0.9990796538300204,,0.06626790547494676,
table_5,feature_13,796,20,19,22,0.9037120636329358,0.9286855099207174,0.8991097913749332,plurel,plurel-130/db,0.9037120636329358,0.9286855099207174,0.8991097913749332,0.024973446287781642,-0.004602272258002582
